calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
ACCESO  NUDO NORTE,          ,40.4806147,-3.685146199999999,2018/1665,0,2,1,0,0
ACCESO  PASEO EXTREMADURA KM.,8200,40.3852483,-3.7834551,2018/2467,1,1,3,0,0
ACCESO  RADIAL 3 - AVENIDA DE DAROCA,0,40.41789,-3.62936,2018/11387,0,2,1,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DE ANDALUCIA,0,40.36453909999999,-3.6970276,2018/11230,1,0,1,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DE ARCENTALES,          ,40.36453909999999,-3.6970276,2018/14776,0,0,2,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DE ARCENTALES,0,40.36453909999999,-3.6970276,2018/10699,0,1,1,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DE LA ALBUFERA,0,40.36453909999999,-3.6970276,2018/12423,1,2,1,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DEL DOCTOR GARCIA TAPIA,0,40.36453909999999,-3.6970276,2018/14768,0,1,1,0,0
ACCESO A LA AUTOVIA M-40 - AVENIDA DEL DOCTOR GARCIA TAPIA,0,40.36453909999999,-3.6970276,2018/14781,0,1,1,0,0
ACCESO A LA AUTOVIA M-40 - GLORIETA DE PRAGA,0,40.36453909999999,-3.6970276,2018/4747,0,0,1,0,0
ACCESO A LA AVENIDA DE AMERICA KM.,4500,40.4407256,-3.6700087,2018/1335,0,2,1,0,0
ACCESO A LA AVENIDA DE ANDALUCIA - CALLE DE MALAGA,0,40.3530968,-3.6931236,2018/4424,0,1,5,0,0
ACCESO A LA AVENIDA DEL MEDITERRANEO,0,40.4067088,-3.668696,2018/16659,0,1,1,0,0
ACCESO A LA AVENIDA DEL MEDITERRANEO - AVENIDA DE LA DEMOCRACIA,0,40.4073774,-3.6748075,2018/609,0,4,3,0,0
ACCESO A LA AVENIDA DEL MEDITERRANEO - AVENIDA DEL MEDITERRANEO,0,40.4067088,-3.668696,2018/9419,1,0,1,0,0
ACCESO A LA AVENIDA DEL MEDITERRANEO - CALLE DEL ARROYO FONTARRON,0,40.4067088,-3.668696,2018/1166,0,1,1,0,0
ACCESO DE  ARROYO DE LA MEDIA LEGUA A M-23 - AUTOVIA  M-30 CALZADA 2,0,40.4127089,-3.6535829,2018/15844,0,2,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/10309,0,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/10765,1,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/11068,0,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/11798,0,0,2,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/11930,0,0,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/12625,0,0,0,1,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/1526,0,0,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/15461,1,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/15854,0,0,2,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/2811,0,0,2,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/3114,0,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/4757,0,1,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/6094,0,2,1,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/731,0,2,2,0,0
AEROPUERTO Terminal T -,4,40.4983322,-3.5675982,2018/8613,1,1,6,1,0
AEROPUERTO Terminal T-,1,40.4983322,-3.5675982,2018/1047,0,2,1,0,0
AEROPUERTO Terminal T-,1,40.4983322,-3.5675982,2018/1226,0,1,1,0,0
AEROPUERTO Terminal T-,1,40.4983322,-3.5675982,2018/13786,0,1,2,0,0
AEROPUERTO Terminal T-,1,40.4983322,-3.5675982,2018/4716,0,3,1,0,0
AEROPUERTO Terminal T-,2,40.4983322,-3.5675982,2018/9545,0,1,1,0,0
AEROPUERTO Terminal T-,3,40.4983322,-3.5675982,2018/4710,0,1,1,0,0
ARROYO DE LAS REJAS - CALLE DE TAURO,0,40.4501451,-3.5671106,2018/8272,0,1,1,0,0
ARROYO DE POZUELO - CALLE DEL TOMILLO,0,40.4515573,-3.774082899999999,2018/1159,0,0,1,0,0
ARROYO DE POZUELO - CARRETERA DE CASTILLA,0,40.4582468,-3.7693299,2018/5964,0,1,3,0,0
AUTOVIA  A-4 ENTRADA - AUTOVIA  M-30 CALZADA 2,0,40.3785038,-3.6855721,2018/1062,0,4,1,0,0
AUTOVIA  A-4 ENTRADA - AUTOVIA  M-30 CALZADA 2,0,40.3785038,-3.6855721,2018/1923,0,3,1,0,0
AUTOVIA  A-4 ENTRADA KM.,4000,40.3785038,-3.6855721,2018/15961,0,2,1,0,0
AUTOVIA  A-4 ENTRADA KM.,4200,40.3785038,-3.6855721,2018/11357,0,2,1,0,0
AUTOVIA  A-4 ENTRADA KM.,4400,40.3785038,-3.6855721,2018/1128,0,2,1,0,0
AUTOVIA  A-4 ENTRADA KM.,4500,40.3785038,-3.6855721,2018/5585,0,4,1,0,0
AUTOVIA  A-4 ENTRADA KM.,4700,40.3785038,-3.6855721,2018/4297,0,0,3,0,0
AUTOVIA  A-4 ENTRADA KM.,5000,40.3785038,-3.6855721,2018/14545,0,0,3,0,0
AUTOVIA  A-4 ENTRADA KM.,5000,40.3785038,-3.6855721,2018/14846,0,0,2,0,0
AUTOVIA  A-4 ENTRADA KM.,5000,40.3785038,-3.6855721,2018/16018,0,2,1,0,0
AUTOVIA  A-4 ENTRADA KM.,5000,40.3785038,-3.6855721,2018/16617,0,3,6,0,0
AUTOVIA  A-4 ENTRADA KM.,5200,40.3785038,-3.6855721,2018/6374,0,2,1,0,0
AUTOVIA  A-4 ENTRADA KM.,5200,40.3785038,-3.6855721,2018/7977,0,3,1,0,0
AUTOVIA  A-4 ENTRADA KM.,5300,40.3785038,-3.6855721,2018/6444,0,1,1,0,0
AUTOVIA  A-4 SALIDA - AUTOVIA  M-30 CALZADA 1,0,40.3785038,-3.6855721,2018/3531,0,1,2,0,0
AUTOVIA  A-4 SALIDA - AUTOVIA  M-30 CALZADA 1,0,40.3785038,-3.6855721,2018/5664,0,0,1,0,0
AUTOVIA  A-4 SALIDA KM.,4000,40.3785038,-3.6855721,2018/15421,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,4000,40.3785038,-3.6855721,2018/2106,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,4300,40.3785038,-3.6855721,2018/11429,0,0,1,0,0
AUTOVIA  A-4 SALIDA KM.,4300,40.3785038,-3.6855721,2018/3330,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,4400,40.3785038,-3.6855721,2018/2662,1,1,2,0,0
AUTOVIA  A-4 SALIDA KM.,4500,40.3785038,-3.6855721,2018/2107,0,0,1,0,0
AUTOVIA  A-4 SALIDA KM.,4500,40.3785038,-3.6855721,2018/7559,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,5000,40.3785038,-3.6855721,2018/8153,1,0,2,0,0
AUTOVIA  A-4 SALIDA KM.,5200,40.3785038,-3.6855721,2018/6631,0,1,2,0,0
AUTOVIA  A-4 SALIDA KM.,5200,40.3785038,-3.6855721,2018/7895,0,1,0,1,0
AUTOVIA  A-4 SALIDA KM.,5400,40.3785038,-3.6855721,2018/11561,0,2,1,0,0
AUTOVIA  A-4 SALIDA KM.,5700,40.3785038,-3.6855721,2018/10806,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,5700,40.3785038,-3.6855721,2018/5660,0,6,1,0,0
AUTOVIA  A-4 SALIDA KM.,5700,40.3785038,-3.6855721,2018/9962,0,1,5,0,0
AUTOVIA  A-4 SALIDA KM.,5800,40.3785038,-3.6855721,2018/12977,0,4,1,0,0
AUTOVIA  A-4 SALIDA KM.,5800,40.3785038,-3.6855721,2018/2109,0,5,1,0,0
AUTOVIA  A-4 SALIDA KM.,5800,40.3785038,-3.6855721,2018/5601,0,1,1,0,0
AUTOVIA  A-4 SALIDA KM.,5800,40.3785038,-3.6855721,2018/5610,0,5,5,0,0
AUTOVIA  A-4 SALIDA KM.,5900,40.3785038,-3.6855721,2018/15938,0,0,0,1,0
AUTOVIA  A-4 SALIDA KM.,6000,40.3785038,-3.6855721,2018/9723,0,3,1,0,0
AUTOVIA  M-23 ENTRADA - AUTOVIA  M-30 CALZADA 1,          ,40.4210557,-3.7224778,2018/3254,0,2,1,0,0
AUTOVIA  M-23 ENTRADA - AUTOVIA  M-30 CALZADA 2,0,40.4210557,-3.7224778,2018/16089,0,2,1,0,0
AUTOVIA  M-23 ENTRADA - CALLE DE LA FUENTE CARRANTONA,0,40.4210557,-3.7224778,2018/10518,0,1,2,0,0
AUTOVIA  M-23 ENTRADA - CALLE DE LA FUENTE CARRANTONA,0,40.4210557,-3.7224778,2018/13164,0,0,1,0,0
AUTOVIA  M-23 ENTRADA - CALLE DE LA FUENTE CARRANTONA,0,40.4210557,-3.7224778,2018/5171,0,1,4,0,0
AUTOVIA  M-23 ENTRADA - CALLE DE LA FUENTE CARRANTONA,0,40.4210557,-3.7224778,2018/6636,0,3,1,0,0
