FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2000,Madrid,M,A,0,0,0,0,9,12,1,3,25
11/03/2019,2000,Madrid,M,A1,0,0,0,1,1,2,0,0,4
11/03/2019,2000,Madrid,M,A2,0,0,0,0,0,0,1,0,1
11/03/2019,2000,Madrid,M,AM,0,0,5,644,1.868,1.361,578,396,4852
11/03/2019,2000,Madrid,M,B,0,1,0,55.803,114.879,108.634,64.705,14.588,358610
11/03/2019,2000,Madrid,M,"B,A,A2",0,0,0,705,3.969,2.967,1.561,4.410,13612
11/03/2019,2000,Madrid,M,"B,A1",0,0,0,607,1.063,466,74,14,2224
11/03/2019,2000,Madrid,M,"B,B+E",0,0,0,98,192,144,119,40,593
11/03/2019,2000,Madrid,M,"B,B+E,A,A2",0,0,0,7,24,21,18,25,95
11/03/2019,2000,Madrid,M,"B,B+E,A1",0,0,0,2,5,8,8,6,29
11/03/2019,2000,Madrid,M,BTP,0,0,0,28,63,47,10,0,148
11/03/2019,2000,Madrid,M,C,0,0,0,4,11,2,0,0,17
11/03/2019,2000,Madrid,M,"C,A,A2",0,0,0,0,6,0,1,0,7
11/03/2019,2000,Madrid,M,"C,B+E",0,0,0,1,0,0,0,0,1
11/03/2019,2000,Madrid,M,"C,C+E",0,0,0,6,9,24,14,3,56
11/03/2019,2000,Madrid,M,"C,C+E,A,A2",0,0,0,1,2,4,1,5,13
11/03/2019,2000,Madrid,M,C1,0,0,0,1,31,20,3,0,55
11/03/2019,2000,Madrid,M,"C1,A,A2",0,0,0,3,16,6,0,0,25
11/03/2019,2000,Madrid,M,"C1,A1",0,0,0,0,0,1,0,0,1
11/03/2019,2000,Madrid,M,"C1,B+E",0,0,0,3,11,2,0,0,16
11/03/2019,2000,Madrid,M,"C1,C1+E",0,0,0,36,94,19,5,1,155
11/03/2019,2000,Madrid,M,"C1,C1+E,A,",0,0,0,3,5,2,1,0,11
11/03/2019,2000,Madrid,M,D ,0,0,0,1,5,4,0,0,10
11/03/2019,2000,Madrid,M,"D,A,A2",0,0,0,3,2,1,0,0,6
11/03/2019,2000,Madrid,M,"D,D+E",0,0,0,4,40,18,8,0,70
11/03/2019,2000,Madrid,M,"D,D+E,A,A2",0,0,0,4,24,13,5,2,48
11/03/2019,2000,Madrid,M,"D1,D1+E",0,0,0,1,4,0,0,0,5
11/03/2019,2000,Madrid,M,LVA,0,0,0,0,0,0,1,0,1
11/03/2019,2000,Madrid,M,Otros,0,0,0,6.946,12.581,7.065,1.191,77,27860
11/03/2019,2000,Madrid,V,A,0,0,0,9,72,87,18,7,193
11/03/2019,2000,Madrid,V,A1,0,0,0,0,4,1,0,0,5
11/03/2019,2000,Madrid,V,A2,0,0,0,0,0,0,1,0,1
11/03/2019,2000,Madrid,V,AM,0,0,23,2.266,4.919,3.912,2.049,4.036,17205
11/03/2019,2000,Madrid,V,B,0,0,0,53.296,96.217,88.009,67.701,28.679,333902
11/03/2019,2000,Madrid,V,"B,A,A2",0,0,0,5.734,28.005,28.963,18.863,26.531,108096
11/03/2019,2000,Madrid,V,"B,A1",0,0,0,1.250,2.553,1.692,217,80,5792
11/03/2019,2000,Madrid,V,"B,B+E",0,0,0,206,990,2.966,5.241,2.705,12108
11/03/2019,2000,Madrid,V,"B,B+E,A,A2",0,0,0,51,526,1.570,3.811,9.508,15466
11/03/2019,2000,Madrid,V,"B,B+E,A1",0,0,0,6,21,47,34,24,132
11/03/2019,2000,Madrid,V,BTP,0,0,0,249,516,321,55,0,1141
11/03/2019,2000,Madrid,V,C,0,0,0,168,192,58,11,0,429
11/03/2019,2000,Madrid,V,"C,A,A2",0,0,0,73,80,37,4,0,194
11/03/2019,2000,Madrid,V,"C,A1",0,0,0,8,2,0,0,0,10
11/03/2019,2000,Madrid,V,"C,B+E",0,0,0,4,3,1,2,0,10
11/03/2019,2000,Madrid,V,"C,C+E",0,0,0,103,388,1.921,925,130,3467
11/03/2019,2000,Madrid,V,"C,C+E,A,A2",0,0,0,26,207,933,738,459,2363
11/03/2019,2000,Madrid,V,C1,0,0,0,149,1.627,1.013,132,7,2928
11/03/2019,2000,Madrid,V,"C1,A,A2",0,0,0,84,944,588,52,6,1674
11/03/2019,2000,Madrid,V,"C1,A1",0,0,0,4,26,21,1,0,52
11/03/2019,2000,Madrid,V,"C1,B+E",0,0,0,9,25,5,1,0,40
11/03/2019,2000,Madrid,V,"C1,C1+E",0,0,0,61,499,112,16,4,692
11/03/2019,2000,Madrid,V,"C1,C1+E,A,",0,0,0,15,211,60,3,1,290
11/03/2019,2000,Madrid,V,D ,0,0,0,36,71,27,2,0,136
11/03/2019,2000,Madrid,V,"D,A,A2",0,0,0,25,59,23,2,0,109
11/03/2019,2000,Madrid,V,"D,A1",0,0,0,2,0,0,0,0,2
11/03/2019,2000,Madrid,V,"D,B+E",0,0,0,1,1,0,0,0,2
11/03/2019,2000,Madrid,V,"D,C+E",0,0,0,0,0,1,0,0,1
11/03/2019,2000,Madrid,V,"D,D+E",0,0,0,129,2.168,2.435,739,63,5534
11/03/2019,2000,Madrid,V,"D,D+E,A,A2",0,0,0,173,2.009,2.067,913,416,5578
11/03/2019,2000,Madrid,V,D1,0,0,0,0,1,0,0,0,1
11/03/2019,2000,Madrid,V,"D1,B+E",0,0,0,0,1,0,0,0,1
11/03/2019,2000,Madrid,V,"D1,D1+E",0,0,0,4,9,2,0,0,15
11/03/2019,2000,Madrid,V,"D1,D1+E,A,",0,0,0,0,2,0,0,0,2
11/03/2019,2000,Madrid,V,LVA,0,0,0,0,1,4,5,4,14
11/03/2019,2000,Madrid,V,Otros,0,0,0,10.608,15.436,11.999,4.065,797,42905
11/03/2019,2001,Madrid,M,A,0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,M,AM,0,0,6,8,8,3,1,1,27
11/03/2019,2001,Madrid,M,B,0,0,2,10.059,2.295,642,126,11,13135
11/03/2019,2001,Madrid,M,"B,A,A2",0,0,0,64,86,8,0,0,158
11/03/2019,2001,Madrid,M,"B,A1",0,0,0,67,38,13,3,0,121
11/03/2019,2001,Madrid,M,"B,B+E",0,0,0,1,7,1,0,1,10
11/03/2019,2001,Madrid,M,"B,B+E,A,A2",0,0,0,1,0,1,0,0,2
11/03/2019,2001,Madrid,M,"B,B+E,A1",0,0,0,0,0,1,0,0,1
