FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2000,Madrid,M,A,0,0,0,0,9,12,1,3,25
11/03/2019,2000,Madrid,M,A1,0,0,0,1,1,2,0,0,4
11/03/2019,2000,Madrid,M,A2,0,0,0,0,0,0,1,0,1
11/03/2019,2000,Madrid,M,AM,0,0,5,644,1.868,1.361,578,396,4852
11/03/2019,2000,Madrid,M,B,0,1,0,55.803,114.879,108.634,64.705,14.588,358610
11/03/2019,2000,Madrid,M,B,0,0,0,705,3.969,2.967,1.561,4.410,13612
11/03/2019,2000,Madrid,M,A,0,0,0,705,3.969,2.967,1.561,4.410,13612
11/03/2019,2000,Madrid,M,A2,0,0,0,705,3.969,2.967,1.561,4.410,13612
11/03/2019,2000,Madrid,M,B,0,0,0,607,1.063,466,74,14,2224
11/03/2019,2000,Madrid,M,A1,0,0,0,607,1.063,466,74,14,2224
11/03/2019,2000,Madrid,M,B,0,0,0,98,192,144,119,40,593
11/03/2019,2000,Madrid,M,B,0,0,0,7,24,21,18,25,95
11/03/2019,2000,Madrid,M,A,0,0,0,7,24,21,18,25,95
11/03/2019,2000,Madrid,M,A2,0,0,0,7,24,21,18,25,95
11/03/2019,2000,Madrid,M,B,0,0,0,2,5,8,8,6,29
11/03/2019,2000,Madrid,M,A1,0,0,0,2,5,8,8,6,29
